Database Report 1 (R4)	Total Searches, Result Clicks and Record Views by Month and Database
BADISCHE LANDESBIBLIOTHEK
BADISCHE LANDESBIBLIOTHEK
Period covered by Report:
2019-01-01 to 2019-04-30
Date run:
2019-09-17
Database	Publisher	Platform	User Activity	Reporting Period Total	Jan-2019	Feb-2019	Mar-2019	Apr-2019
Europeana	EBSCO	EBSCOhost	Searches-federated and automated	5085	66	1340	1940	1739
Europeana	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Europeana	EBSCO	EBSCOhost	Record Views	15	0	0	14	1
FIS Bildung Literaturdatenbank (German Education Index)	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
FIS Bildung Literaturdatenbank (German Education Index)	EBSCO	EBSCOhost	Searches-federated and automated	288387	76119	72089	72704	67475
FIS Bildung Literaturdatenbank (German Education Index)	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
FIS Bildung Literaturdatenbank (German Education Index)	EBSCO	EBSCOhost	Record Views	4109	1233	1030	1021	825
FRANCIS Archive	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
FRANCIS Archive	EBSCO	EBSCOhost	Searches-federated and automated	288235	76095	72026	72704	67410
FRANCIS Archive	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
FRANCIS Archive	EBSCO	EBSCOhost	Record Views	477	122	121	142	92
GBV Online Contents	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
GBV Online Contents	EBSCO	EBSCOhost	Searches-federated and automated	284608	76393	71035	71105	66075
GBV Online Contents	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
GBV Online Contents	EBSCO	EBSCOhost	Record Views	429	118	105	90	116
Gale Virtual Reference Library	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Gale Virtual Reference Library	EBSCO	EBSCOhost	Searches-federated and automated	22	1	1	14	6
Gale Virtual Reference Library	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Gale Virtual Reference Library	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
GreenFILE	EBSCO	EBSCOhost	Regular Searches	190	14	144	17	15
GreenFILE	EBSCO	EBSCOhost	Searches-federated and automated	289393	76404	72292	72987	67710
GreenFILE	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
GreenFILE	EBSCO	EBSCOhost	Record Views	20	8	2	5	5
Grove Art Online	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Grove Art Online	EBSCO	EBSCOhost	Searches-federated and automated	5056	65	1343	1923	1725
Grove Art Online	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Grove Art Online	EBSCO	EBSCOhost	Record Views	5	0	0	3	2
Grove Music Online	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Grove Music Online	EBSCO	EBSCOhost	Searches-federated and automated	289039	76270	72221	72928	67620
Grove Music Online	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Grove Music Online	EBSCO	EBSCOhost	Record Views	6	2	1	0	3
Historisches Wörterbuch der Rhetorik Online	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Historisches Wörterbuch der Rhetorik Online	EBSCO	EBSCOhost	Searches-federated and automated	282599	75823	70566	70650	65560
Historisches Wörterbuch der Rhetorik Online	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Historisches Wörterbuch der Rhetorik Online	EBSCO	EBSCOhost	Record Views	2	0	2	0	0
JSTOR Journals	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
JSTOR Journals	EBSCO	EBSCOhost	Searches-federated and automated	289833	76550	72409	73079	67795
JSTOR Journals	EBSCO	EBSCOhost	Result Clicks	8	7	0	1	0
JSTOR Journals	EBSCO	EBSCOhost	Record Views	1108	263	302	311	232
LexisNexis Academic: Law Reviews	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
LexisNexis Academic: Law Reviews	EBSCO	EBSCOhost	Searches-federated and automated	5060	65	1344	1925	1726
LexisNexis Academic: Law Reviews	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
LexisNexis Academic: Law Reviews	EBSCO	EBSCOhost	Record Views	1	0	0	1	0
